Condition,CV F1,CV AUC,Test Precision,Test Recall,Test F1,Test AUC,Test AP
A1: No Fraud Simulation (SMOTE only),0.671,0.9993,0.4548,0.9976,0.6247,0.9997,0.9363
A2: With Fraud Simulation (full pipeline),0.947,0.9996,0.3829,0.9976,0.5533,0.9994,0.7317
B1: No SMOTE (ratio=0.0),0.947,0.9996,0.8437,0.9951,0.9132,0.9991,0.9639
B2: SMOTE ratio=0.3 (current),0.947,0.9996,0.3851,0.9976,0.5557,0.9994,0.7322
B3: SMOTE ratio=0.5 (aggressive),0.947,0.9996,0.359,0.9976,0.528,0.9993,0.718
C1: Without Engineered Features,0.6359,0.9977,0.0833,0.9976,0.1538,0.9984,0.6061
C2: With Engineered Features (full pipeline),0.947,0.9996,0.3829,0.9976,0.5533,0.9994,0.7317
