Model,CV Precision,CV Recall,CV F1,CV AUC-ROC,CV Avg Prec,Test Precision,Test Recall,Test F1,Test AUC-ROC,Test Avg Prec
XGBoost,0.905 ± 0.035,1.000 ± 0.000,0.949 ± 0.020,1.000 ± 0.000,0.985 ± 0.004,0.3981,0.9976,0.5691,0.9995,0.9358
Random Forest,0.553 ± 0.009,0.995 ± 0.001,0.711 ± 0.007,0.999 ± 0.000,0.934 ± 0.002,0.1035,0.9976,0.1875,0.9995,0.887
Neural Network,0.667 ± 0.089,0.990 ± 0.005,0.793 ± 0.061,0.999 ± 0.000,0.969 ± 0.003,0.1437,0.9732,0.2505,0.9983,0.7081
Logistic Regression,0.142 ± 0.002,0.997 ± 0.001,0.249 ± 0.003,0.977 ± 0.001,0.337 ± 0.006,0.0217,0.986,0.0425,0.9946,0.5567
