model_name,model,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_auc_mean,cv_auc_std,cv_train_f1_mean,cv_train_auc_mean,test_accuracy,test_precision,test_recall,test_f1,test_auc_roc,test_avg_prec,weights_path,run_timestamp,cv_average_precision_mean,cv_average_precision_std
Logistic Regression,logistic_regression,0.1421874045406618,0.0017708468283284,0.9966165523313674,0.0012647849063649,0.2488635889941707,0.0026779597640002,0.9767837358376558,0.0010726087488913,0.2489450791092469,0.9767935414483752,0.9426399816427824,0.0217190202308651,0.9860012172854534,0.0425018364991079,0.994619207521118,0.5566798688993516,outputs/models/logistic_regression.pkl,2026-05-10T13:23:55.830967,0.3369274391148196,0.0061271106449998
Neural Network,neural_network,0.6670064170179856,0.0891023677191458,0.9900968817476408,0.005220411165941,0.7934188201073958,0.0608038647194236,0.9993592326444748,0.0001150263322456,0.7927289250046886,0.9994970071756888,0.9924802989963254,0.1437432578209277,0.9732197200243458,0.2504895433539594,0.9983282835705342,0.7080888321044619,outputs/models/neural_network.pkl,2026-05-10T15:27:30.202108,0.9694517716602912,0.002970159869247
Random Forest,random_forest,0.5531060812757768,0.0086379180171905,0.9953497011757768,0.0012322603515039,0.7110284725999648,0.0068205623307549,0.9990199718020591,6.938368007274029e-05,0.7123773806190052,0.9991275702556072,0.9888387173837192,0.1034852885465336,0.9975654290931224,0.1875178765516847,0.9994931051905336,0.8869511571780913,outputs/models/random_forest.pkl,2026-05-10T13:33:08.440276,0.9336167822018424,0.0016215044521755
XGBoost,xgboost,0.9045517650895192,0.0352147928690589,0.9995056170876672,0.0001788353839959,0.9492964223811428,0.0195854847449155,0.9998032949998228,4.175883863771363e-05,0.949574006650724,0.9998539050564306,0.9980495456274302,0.3981054165654603,0.9975654290931224,0.5690972222222223,0.9994909249344646,0.935790182304952,outputs/models/xgboost.pkl,2026-05-10T13:46:02.892677,0.9853524191193342,0.0036102240294578
