model_name,model,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_auc_mean,cv_auc_std,cv_train_f1_mean,cv_train_auc_mean,test_accuracy,test_precision,test_recall,test_f1,test_auc_roc,test_avg_prec,weights_path,run_timestamp,cv_average_precision_mean,cv_average_precision_std
Logistic Regression,logistic_regression,0.1867729233673889,0.0039620294931953,0.6095510222600066,0.0065850045619846,0.2859271535673738,0.0053596655312063,0.8155304713855572,0.0052627037720761,0.2860089352387134,0.8156565461833264,0.8566196001018448,0.0060645133091481,0.6755934266585514,0.0120211181805875,0.7605968982799312,0.0960292497034487,outputs/models/logistic_regression.pkl,2026-05-09T17:52:19.682553,0.2727688692309493,0.0134139645654604
Neural Network,neural_network,0.8444200176780843,0.0535046891508991,0.8600132059725799,0.0099618822862595,0.8510433601681745,0.0242409398853919,0.9891569692253048,0.0007488025438571,0.8512348443707758,0.9893253933625688,0.9960990912548604,0.2154241645244216,0.7650639074863055,0.3361861460283498,0.9792297344047785,0.6680533297046063,outputs/models/neural_network.pkl,2026-05-09T17:46:19.413401,0.9247146627747284,0.0071759615833078
Random Forest,random_forest,0.9008906439894464,0.0020781092427448,0.7865317441843601,0.0055747456215693,0.8398247361355368,0.0033382659988975,0.9770327164101814,0.0007671650774738,0.8420551898670614,0.9775805943284928,0.9951010747145044,0.1727726300784034,0.7376749847839318,0.2799722799722799,0.9339640823480144,0.6790067150143917,outputs/models/random_forest.pkl,2026-05-09T18:09:53.938773,0.8916476646379232,0.0032622554558417
XGBoost,xgboost,0.9353231405162404,0.0003430410004101,0.8631004846375344,0.0028613390237985,0.8977592441687151,0.0015901263559104,0.991837389738362,8.56774856744934e-06,0.8983720875434438,0.9919507379637889,0.9961713885160516,0.2460280006292276,0.9519172245891662,0.391,0.9980055805293172,0.885717937653874,outputs/models/xgboost.pkl,2026-05-09T18:29:07.082619,0.9447229886103876,0.0007284302377509
Logistic Regression,logistic_regression,0.5367638541085751,0.0184806244418913,0.2058400702234192,0.0178790182867962,0.29739890164248,0.0213402384623172,0.8204460834452533,0.0067708130969232,0.2975184476634412,0.8205729040025505,0.9919844340853295,0.0765119271503513,0.4704808277541083,0.1316192746466882,0.7575613257194989,0.1269219021825346,outputs/models/logistic_regression.pkl,2026-05-10T01:10:13.153660,0.313478788686518,0.0162117755680722
Logistic Regression,logistic_regression,0.1421874045406618,0.0017708468283284,0.9966165523313674,0.0012647849063649,0.2488635889941707,0.0026779597640002,0.9767837358376558,0.0010726087488913,0.2489450791092469,0.9767935414483752,0.9426399816427824,0.0217190202308651,0.9860012172854534,0.0425018364991079,0.994619207521118,0.5566798688993516,outputs/models/logistic_regression.pkl,2026-05-10T13:23:55.830967,0.3369274391148196,0.0061271106449998
Random Forest,random_forest,0.5531060812757768,0.0086379180171905,0.9953497011757768,0.0012322603515039,0.7110284725999648,0.0068205623307549,0.9990199718020591,6.938368007274029e-05,0.7123773806190052,0.9991275702556072,0.9888387173837192,0.1034852885465336,0.9975654290931224,0.1875178765516847,0.9994931051905336,0.8869511571780913,outputs/models/random_forest.pkl,2026-05-10T13:33:08.440276,0.9336167822018424,0.0016215044521755
XGBoost,xgboost,0.9045517650895192,0.0352147928690589,0.9995056170876672,0.0001788353839959,0.9492964223811428,0.0195854847449155,0.9998032949998228,4.175883863771363e-05,0.949574006650724,0.9998539050564306,0.9980495456274302,0.3981054165654603,0.9975654290931224,0.5690972222222223,0.9994909249344646,0.935790182304952,outputs/models/xgboost.pkl,2026-05-10T13:46:02.892677,0.9853524191193342,0.0036102240294578
Neural Network,neural_network,0.6670064170179856,0.08910236771914588,0.9900968817476409,0.005220411165941099,0.7934188201073958,0.060803864719423624,0.9993592326444749,0.0001150263322456413,0.7927289250046886,0.9994970071756887,0.9924802989963254,0.14374325782092773,0.9732197200243458,0.25048954335395945,0.9983282835705342,0.7080888321044619,outputs/models/neural_network.pkl,2026-05-10T15:27:30.202108,0.9694517716602912,0.002970159869247075
